Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T00:00+01:00;2014-01-17T01:00+01:00;2014-01-17;00:00;01:00;1;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T00:00+01:00;2014-01-17T01:00+01:00;2014-01-17;00:00;01:00;2;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T00:00+01:00;2014-01-17T01:00+01:00;2014-01-17;00:00;01:00;Totalt i retning B�RUMSVEIEN;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T00:00+01:00;2014-01-17T01:00+01:00;2014-01-17;00:00;01:00;Totalt i retning E18;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T00:00+01:00;2014-01-17T01:00+01:00;2014-01-17;00:00;01:00;Totalt;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T01:00+01:00;2014-01-17T02:00+01:00;2014-01-17;01:00;02:00;1;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T01:00+01:00;2014-01-17T02:00+01:00;2014-01-17;01:00;02:00;2;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T01:00+01:00;2014-01-17T02:00+01:00;2014-01-17;01:00;02:00;Totalt i retning B�RUMSVEIEN;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T01:00+01:00;2014-01-17T02:00+01:00;2014-01-17;01:00;02:00;Totalt i retning E18;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T01:00+01:00;2014-01-17T02:00+01:00;2014-01-17;01:00;02:00;Totalt;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T02:00+01:00;2014-01-17T03:00+01:00;2014-01-17;02:00;03:00;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T02:00+01:00;2014-01-17T03:00+01:00;2014-01-17;02:00;03:00;2;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T02:00+01:00;2014-01-17T03:00+01:00;2014-01-17;02:00;03:00;Totalt i retning B�RUMSVEIEN;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T02:00+01:00;2014-01-17T03:00+01:00;2014-01-17;02:00;03:00;Totalt i retning E18;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T02:00+01:00;2014-01-17T03:00+01:00;2014-01-17;02:00;03:00;Totalt;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T03:00+01:00;2014-01-17T04:00+01:00;2014-01-17;03:00;04:00;1;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T03:00+01:00;2014-01-17T04:00+01:00;2014-01-17;03:00;04:00;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T03:00+01:00;2014-01-17T04:00+01:00;2014-01-17;03:00;04:00;Totalt i retning B�RUMSVEIEN;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T03:00+01:00;2014-01-17T04:00+01:00;2014-01-17;03:00;04:00;Totalt i retning E18;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T03:00+01:00;2014-01-17T04:00+01:00;2014-01-17;03:00;04:00;Totalt;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T04:00+01:00;2014-01-17T05:00+01:00;2014-01-17;04:00;05:00;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T04:00+01:00;2014-01-17T05:00+01:00;2014-01-17;04:00;05:00;2;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T04:00+01:00;2014-01-17T05:00+01:00;2014-01-17;04:00;05:00;Totalt i retning B�RUMSVEIEN;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T04:00+01:00;2014-01-17T05:00+01:00;2014-01-17;04:00;05:00;Totalt i retning E18;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T04:00+01:00;2014-01-17T05:00+01:00;2014-01-17;04:00;05:00;Totalt;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T05:00+01:00;2014-01-17T06:00+01:00;2014-01-17;05:00;06:00;1;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T05:00+01:00;2014-01-17T06:00+01:00;2014-01-17;05:00;06:00;2;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T05:00+01:00;2014-01-17T06:00+01:00;2014-01-17;05:00;06:00;Totalt i retning B�RUMSVEIEN;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T05:00+01:00;2014-01-17T06:00+01:00;2014-01-17;05:00;06:00;Totalt i retning E18;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T05:00+01:00;2014-01-17T06:00+01:00;2014-01-17;05:00;06:00;Totalt;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T06:00+01:00;2014-01-17T07:00+01:00;2014-01-17;06:00;07:00;1;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T06:00+01:00;2014-01-17T07:00+01:00;2014-01-17;06:00;07:00;2;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T06:00+01:00;2014-01-17T07:00+01:00;2014-01-17;06:00;07:00;Totalt i retning B�RUMSVEIEN;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T06:00+01:00;2014-01-17T07:00+01:00;2014-01-17;06:00;07:00;Totalt i retning E18;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T06:00+01:00;2014-01-17T07:00+01:00;2014-01-17;06:00;07:00;Totalt;202;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T07:00+01:00;2014-01-17T08:00+01:00;2014-01-17;07:00;08:00;1;191;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T07:00+01:00;2014-01-17T08:00+01:00;2014-01-17;07:00;08:00;2;314;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T07:00+01:00;2014-01-17T08:00+01:00;2014-01-17;07:00;08:00;Totalt i retning B�RUMSVEIEN;314;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T07:00+01:00;2014-01-17T08:00+01:00;2014-01-17;07:00;08:00;Totalt i retning E18;191;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T07:00+01:00;2014-01-17T08:00+01:00;2014-01-17;07:00;08:00;Totalt;505;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T08:00+01:00;2014-01-17T09:00+01:00;2014-01-17;08:00;09:00;1;237;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T08:00+01:00;2014-01-17T09:00+01:00;2014-01-17;08:00;09:00;2;548;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T08:00+01:00;2014-01-17T09:00+01:00;2014-01-17;08:00;09:00;Totalt i retning B�RUMSVEIEN;548;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T08:00+01:00;2014-01-17T09:00+01:00;2014-01-17;08:00;09:00;Totalt i retning E18;237;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T08:00+01:00;2014-01-17T09:00+01:00;2014-01-17;08:00;09:00;Totalt;785;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T09:00+01:00;2014-01-17T10:00+01:00;2014-01-17;09:00;10:00;1;241;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T09:00+01:00;2014-01-17T10:00+01:00;2014-01-17;09:00;10:00;2;228;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T09:00+01:00;2014-01-17T10:00+01:00;2014-01-17;09:00;10:00;Totalt i retning B�RUMSVEIEN;228;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T09:00+01:00;2014-01-17T10:00+01:00;2014-01-17;09:00;10:00;Totalt i retning E18;241;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T09:00+01:00;2014-01-17T10:00+01:00;2014-01-17;09:00;10:00;Totalt;469;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T10:00+01:00;2014-01-17T11:00+01:00;2014-01-17;10:00;11:00;1;168;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T10:00+01:00;2014-01-17T11:00+01:00;2014-01-17;10:00;11:00;2;204;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T10:00+01:00;2014-01-17T11:00+01:00;2014-01-17;10:00;11:00;Totalt i retning B�RUMSVEIEN;204;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T10:00+01:00;2014-01-17T11:00+01:00;2014-01-17;10:00;11:00;Totalt i retning E18;168;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T10:00+01:00;2014-01-17T11:00+01:00;2014-01-17;10:00;11:00;Totalt;372;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T11:00+01:00;2014-01-17T12:00+01:00;2014-01-17;11:00;12:00;1;190;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T11:00+01:00;2014-01-17T12:00+01:00;2014-01-17;11:00;12:00;2;226;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T11:00+01:00;2014-01-17T12:00+01:00;2014-01-17;11:00;12:00;Totalt i retning B�RUMSVEIEN;226;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T11:00+01:00;2014-01-17T12:00+01:00;2014-01-17;11:00;12:00;Totalt i retning E18;190;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T11:00+01:00;2014-01-17T12:00+01:00;2014-01-17;11:00;12:00;Totalt;416;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T12:00+01:00;2014-01-17T13:00+01:00;2014-01-17;12:00;13:00;1;232;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T12:00+01:00;2014-01-17T13:00+01:00;2014-01-17;12:00;13:00;2;233;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T12:00+01:00;2014-01-17T13:00+01:00;2014-01-17;12:00;13:00;Totalt i retning B�RUMSVEIEN;233;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T12:00+01:00;2014-01-17T13:00+01:00;2014-01-17;12:00;13:00;Totalt i retning E18;232;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T12:00+01:00;2014-01-17T13:00+01:00;2014-01-17;12:00;13:00;Totalt;465;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T13:00+01:00;2014-01-17T14:00+01:00;2014-01-17;13:00;14:00;1;243;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T13:00+01:00;2014-01-17T14:00+01:00;2014-01-17;13:00;14:00;2;251;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T13:00+01:00;2014-01-17T14:00+01:00;2014-01-17;13:00;14:00;Totalt i retning B�RUMSVEIEN;251;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T13:00+01:00;2014-01-17T14:00+01:00;2014-01-17;13:00;14:00;Totalt i retning E18;243;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T13:00+01:00;2014-01-17T14:00+01:00;2014-01-17;13:00;14:00;Totalt;494;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T14:00+01:00;2014-01-17T15:00+01:00;2014-01-17;14:00;15:00;1;347;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T14:00+01:00;2014-01-17T15:00+01:00;2014-01-17;14:00;15:00;2;310;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T14:00+01:00;2014-01-17T15:00+01:00;2014-01-17;14:00;15:00;Totalt i retning B�RUMSVEIEN;310;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T14:00+01:00;2014-01-17T15:00+01:00;2014-01-17;14:00;15:00;Totalt i retning E18;347;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T14:00+01:00;2014-01-17T15:00+01:00;2014-01-17;14:00;15:00;Totalt;657;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T15:00+01:00;2014-01-17T16:00+01:00;2014-01-17;15:00;16:00;1;499;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T15:00+01:00;2014-01-17T16:00+01:00;2014-01-17;15:00;16:00;2;373;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T15:00+01:00;2014-01-17T16:00+01:00;2014-01-17;15:00;16:00;Totalt i retning B�RUMSVEIEN;373;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T15:00+01:00;2014-01-17T16:00+01:00;2014-01-17;15:00;16:00;Totalt i retning E18;499;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T15:00+01:00;2014-01-17T16:00+01:00;2014-01-17;15:00;16:00;Totalt;872;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T16:00+01:00;2014-01-17T17:00+01:00;2014-01-17;16:00;17:00;1;573;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T16:00+01:00;2014-01-17T17:00+01:00;2014-01-17;16:00;17:00;2;369;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T16:00+01:00;2014-01-17T17:00+01:00;2014-01-17;16:00;17:00;Totalt i retning B�RUMSVEIEN;369;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T16:00+01:00;2014-01-17T17:00+01:00;2014-01-17;16:00;17:00;Totalt i retning E18;573;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T16:00+01:00;2014-01-17T17:00+01:00;2014-01-17;16:00;17:00;Totalt;942;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T17:00+01:00;2014-01-17T18:00+01:00;2014-01-17;17:00;18:00;1;342;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T17:00+01:00;2014-01-17T18:00+01:00;2014-01-17;17:00;18:00;2;313;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T17:00+01:00;2014-01-17T18:00+01:00;2014-01-17;17:00;18:00;Totalt i retning B�RUMSVEIEN;313;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T17:00+01:00;2014-01-17T18:00+01:00;2014-01-17;17:00;18:00;Totalt i retning E18;342;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T17:00+01:00;2014-01-17T18:00+01:00;2014-01-17;17:00;18:00;Totalt;655;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T18:00+01:00;2014-01-17T19:00+01:00;2014-01-17;18:00;19:00;1;205;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T18:00+01:00;2014-01-17T19:00+01:00;2014-01-17;18:00;19:00;2;206;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T18:00+01:00;2014-01-17T19:00+01:00;2014-01-17;18:00;19:00;Totalt i retning B�RUMSVEIEN;206;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T18:00+01:00;2014-01-17T19:00+01:00;2014-01-17;18:00;19:00;Totalt i retning E18;205;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T18:00+01:00;2014-01-17T19:00+01:00;2014-01-17;18:00;19:00;Totalt;411;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T19:00+01:00;2014-01-17T20:00+01:00;2014-01-17;19:00;20:00;1;173;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T19:00+01:00;2014-01-17T20:00+01:00;2014-01-17;19:00;20:00;2;140;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T19:00+01:00;2014-01-17T20:00+01:00;2014-01-17;19:00;20:00;Totalt i retning B�RUMSVEIEN;140;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T19:00+01:00;2014-01-17T20:00+01:00;2014-01-17;19:00;20:00;Totalt i retning E18;173;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T19:00+01:00;2014-01-17T20:00+01:00;2014-01-17;19:00;20:00;Totalt;313;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T20:00+01:00;2014-01-17T21:00+01:00;2014-01-17;20:00;21:00;1;81;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T20:00+01:00;2014-01-17T21:00+01:00;2014-01-17;20:00;21:00;2;95;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T20:00+01:00;2014-01-17T21:00+01:00;2014-01-17;20:00;21:00;Totalt i retning B�RUMSVEIEN;95;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T20:00+01:00;2014-01-17T21:00+01:00;2014-01-17;20:00;21:00;Totalt i retning E18;81;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T20:00+01:00;2014-01-17T21:00+01:00;2014-01-17;20:00;21:00;Totalt;176;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T21:00+01:00;2014-01-17T22:00+01:00;2014-01-17;21:00;22:00;1;84;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T21:00+01:00;2014-01-17T22:00+01:00;2014-01-17;21:00;22:00;2;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T21:00+01:00;2014-01-17T22:00+01:00;2014-01-17;21:00;22:00;Totalt i retning B�RUMSVEIEN;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T21:00+01:00;2014-01-17T22:00+01:00;2014-01-17;21:00;22:00;Totalt i retning E18;84;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T21:00+01:00;2014-01-17T22:00+01:00;2014-01-17;21:00;22:00;Totalt;135;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T22:00+01:00;2014-01-17T23:00+01:00;2014-01-17;22:00;23:00;1;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T22:00+01:00;2014-01-17T23:00+01:00;2014-01-17;22:00;23:00;2;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T22:00+01:00;2014-01-17T23:00+01:00;2014-01-17;22:00;23:00;Totalt i retning B�RUMSVEIEN;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T22:00+01:00;2014-01-17T23:00+01:00;2014-01-17;22:00;23:00;Totalt i retning E18;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T22:00+01:00;2014-01-17T23:00+01:00;2014-01-17;22:00;23:00;Totalt;102;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T23:00+01:00;2014-01-18T00:00+01:00;2014-01-17;23:00;00:00;1;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T23:00+01:00;2014-01-18T00:00+01:00;2014-01-17;23:00;00:00;2;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T23:00+01:00;2014-01-18T00:00+01:00;2014-01-17;23:00;00:00;Totalt i retning B�RUMSVEIEN;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T23:00+01:00;2014-01-18T00:00+01:00;2014-01-17;23:00;00:00;Totalt i retning E18;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T23:00+01:00;2014-01-18T00:00+01:00;2014-01-17;23:00;00:00;Totalt;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-